trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.99}",30,0,-183.65013218120802,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.8, 'e': 0.9801}",25,0,-121.68034974780164,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.970299}",20,8,12.148105020405566,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.8, 'e': 0.96059601}",30,0,-25.84072469100444,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.9509900498999999}",20,0,-29.578867342095062,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.941480149401}",30,0,-39.3780476928016,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.9320653479069899}",25,0,-27.20955017953313,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.9227446944279201}",30,0,3.7874427283305656,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.9135172474836408}",20,0,-16.735310203057345,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.9043820750088044}",25,3,-1.9588747399496662,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.8953382542587164}",20,0,26.417943011220864,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.8863848717161292}",25,1,-0.4103311004633188,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.8775210229989678}",20,0,-26.054718363919203,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.8687458127689782}",20,0,26.28197596141047,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.8600583546412884}",20,0,-50.53954137548043,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.8514577710948755}",25,0,-78.2917663702244,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
17,False,"{'a': 0.8, 'e': 0.8429431933839268}",20,0,-15.960757755799241,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.8345137614500875}",20,0,10.220538668372644,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.8261686238355866}",25,0,-46.28162771606167,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.8179069375972308}",35,7,24.99789563406278,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.8, 'e': 0.8097278682212584}",30,0,8.749710241203044,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.8, 'e': 0.8016305895390459}",25,0,24.155671739226626,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.7936142836436554}",20,0,9.54887135674071,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.7856781408072188}",20,10,-88.05130241547646,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 2}",1
25,False,"{'a': 0.8, 'e': 0.7778213593991467}",20,0,-43.7384518002315,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.8, 'e': 0.7700431458051551}",20,11,12.193366373274456,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.8, 'e': 0.7623427143471035}",20,0,29.420032922838303,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.8, 'e': 0.7547192872036326}",25,0,26.2443240545876,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
