trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,12,-136.7970152235996,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.14678863394025,"{0: 19, 1: 3, 2: 3, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.0148460505799,"{0: 9, 1: 4, 2: 11, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.85604902305037,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.60678685672022,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.0013483813172,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.80902631248121,"{0: 14, 1: 4, 2: 4, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.83135119330566,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.38336146638881,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.40177087358367,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,19,-37.042345118020926,"{0: 6, 1: 3, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-243.15723403135462,"{0: 13, 1: 2, 2: 3, 3: 3, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-197.87007478383447,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-201.74493909816857,"{0: 25, 1: 0, 2: 5, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.38997840988725,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-31.794096867261814,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.88399784786517,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.58812029354372,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,9,-62.42108456750062,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.72540728821379,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-240.01176120417696,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-21.636995728755974,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-153.5384373800285,"{0: 15, 1: 1, 2: 13, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-232.64343360882359,"{0: 16, 1: 2, 2: 6, 3: 3, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-223.4124048259769,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.27761115196272,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-143.85980901073518,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.58684326290302,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.30479933163588,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.98000505390544,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
